ROWNUM,object_id,+PRIVILEGES,project_id,Data.AxisNumber,Data.CompressionAlgorithm,Data.DataLength,Data.DataSize,Data.ImgNumber,Data.InstrumentMode,Data.ObservationMode,Data.OnBoardSoftwareVersion,Data.PlanningId,Data.SimInputConfId,Data.VisNominalChain,Data.VisSequence,Data.VisSequenceEndTime,Data.ObservationDateTime.MJD,Data.ObservationDateTime.OBT,Data.ObservationDateTime.UTC,Data.FrameFitsFile.Format,Data.FrameFitsFile.Version,Data.ExposureTime.Unit,Data.ExposureTime.Value,Data.FrameFitsFile.DataContainer.ChecksumMethod,Data.FrameFitsFile.DataContainer.ChecksumValue,Data.FrameFitsFile.DataContainer.FileName,Data.FrameFitsFile.DataContainer.Filestatus,OBJECT_ID$
410,021D145B3E1A5B2CE0632F061AACCD96,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147514624,,"false","Nominal/Short",1970-02-03 13:24:38.729000,60159.889584963195,1970-02-03 13:13:54.084000,2023-08-03 21:21:00.140820,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T212100.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
411,021D1D09BE78653DE0632F061AACE8F0,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147511936,,"false","Nominal/Short",1970-02-03 07:08:23.726000,60159.63375118557,1970-02-03 07:05:30.083000,2023-08-03 15:12:36.102433,"le1.visRawImage","0.2","s",89.52,,,"EUC_LE1_VIS-65536-1-C_20230803T145736.000000Z_02_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
412,021D278A7ADB718EE0632F061AAC0A1A,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147511936,,"false","Nominal/Short",1970-02-03 07:01:36.875000,60159.62358913089,1970-02-03 06:50:52.084000,2023-08-03 14:57:58.100909,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T145736.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
413,021D32042EF07D6AE0632F061AAC50CA,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147513984,,"false","Nominal/Short",1970-02-03 11:53:52.737000,60159.82655244631,1970-02-03 11:43:08.083000,2023-08-03 19:50:14.131361,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T194952.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
414,021D3A10099B8655E0632F061AACD299,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","CALIBRATION","3.1.2",2147512064,,"false","Bias",1970-02-03 07:25:34.715000,60159.64680676379,1970-02-03 07:24:18.083000,2023-08-03 15:31:24.104392,"le1.visRawImage","0.2","s",0.0,,,"EUC_LE1_VIS-65536-1-C_20230803T151540.000000Z_02_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
415,021D44D10BFC96FFE0632F061AACAF93,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147512064,,"false","Nominal/Short",1970-02-03 07:19:18.853000,60159.6358808189,1970-02-03 07:08:34.084000,2023-08-03 15:15:40.102753,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T151540.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
416,021D4FC790F7A519E0632F061AAC84F8,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147514112,,"false","Nominal/Short",1970-02-03 12:11:34.738000,60159.83884413433,1970-02-03 12:00:50.083000,2023-08-03 20:07:56.133206,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T200756.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
417,021D6B9912F2C4BAE0632F061AAC82F4,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147510016,,"false","Nominal/Short",1970-02-03 02:33:49.720000,60159.44307955816,1970-02-03 02:30:56.084000,2023-08-03 10:38:02.073825,"le1.visRawImage","0.2","s",89.52,,,"EUC_LE1_VIS-65536-1-C_20230803T102324.000000Z_02_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
418,021D766EB144D1B3E0632F061AAC0A76,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147510912,,"false","Nominal/Short",1970-02-03 04:35:28.939000,60159.52210747316,1970-02-03 04:24:44.083000,2023-08-03 12:31:50.085681,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T123128.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
419,021D80E237CCDF12E0632F061AAC4746,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147510656,,"false","Nominal/Short",1970-02-03 03:57:48.827000,60159.49595002034,1970-02-03 03:47:04.084000,2023-08-03 11:54:10.081758,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T115410.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
